Applicant,Project Title,City,State,Organization Zip,Project Description,Absolute Priority,Competitive Preference Priority,Applicant Type,Grant Type,Award Length,Award Requested,Private Match Waiver,Location
21st Century Partnership for STEM Education,Validating a MicroSociety School Community of Practice Model to Maximize College and Career Readiness,Conshohocken,PA,19428,"""Project Title: Validating a MicroSociety Middle School Community of Practice Model to Maximize College and Career Readiness (Validation Grant)Applicant: The 21st Century Partnership for STEM EducationOfficial Partners: MicroSociety, Inc., South Carolina Department of Education, Imagine Schools, Florida Charter School Alliance, Albuquerque Public Schools, Ysletta School District, Lincoln Parish School District, and Gadsen School District. Project Description, objectives and proposed outcomes: The proposed project is a large-scale randomized control study of 60 schools all of whom have committed interest in implementing the MicroSociety situated learning environment to validate the capacity of the model to increase student achievement and prepare students, by the end of 8th grade, for a pathway of success in college and beyond. The project will specifically: (1) Produce student outcomes in 8th grade that indicate a statistically significant higher degree of college and career readiness than a control group with an effect size > .30. (2) Create 30 new situated learning middle school environments (MicroSociety) leading to high student engagement and prove that this was a causal factor in goal #1 using a Randomized Control Trial (RCT) design. (3) Assist states in their transition to further refine their college and career readiness standards by identifying a key strategy - the use of a situated learning environment - to achieve these standards. The total number of students to be served by this project is 67,500 in states represented by key LEA partners listed above. """,AP3: High Standards and High-Quality Assessments,"CP7: Unique Learning Needs, CP8: Rural LEAs",Nonprofit w/ LEA,Validation,5 years,24757181,No,"Conshohocken, PA
(40.0779, -75.303)"
"A Chance To Grow, Inc.",ACTG: The S.M.A.R.T. Program Model for Improving Children's Literacy Skills,Minneapolis,MN,55418,"""A Chance To Grow (ACTG) requests a Developmental Grant for SMART   a school-based intervention that promotes brain stem functioning and improves learning capacities in young children.  SMART has demonstrated that it can produce reading gains and close achievement gaps between students of different income and racial groups.  In i3, ACTG will expand SMART to 30 schools in three states.  SMART has two overarching objectives: (1) the SMART curriculum, along with ongoing mentoring, will produce greater teacher effectiveness, and (2) more effective teachers will result in greater student achievement and growth and a reduction in achievement gaps between groups of students.  SMART is a teacher development approach that provides elementary teachers with a tool kit (SMART curriculum) that facilitates early learning, promotes movement, and provides ongoing forums for teachers to address classroom leadership issues into 30 schools in three states.  SMART is designed to be integrated into the daily classroom schedule and administered by regular teachers.  ACTG provides a week-long summer training in SMART curriculum, how to integrate SMART into the daily classroom, and, training in learner-centered approaches and classroom leadership skills.  SMART also provides to teachers up to three years of mentoring from former educators trained in SMART and learner-centered approaches.  7,500 to 10,000 students will be involved over a period of five years. Using University of Denver's experimental research design, reading tests will be used to assess reading levels and gains in phonemic awareness, phonics, vocabulary, fluency, and comprehension. Teacher effectiveness will be measured by classroom observations and teacher, parent, and student surveys.  Official partners are the University of Denver and the 30 participating LEA schools in MN, SD, and WI.""",AP1: Effective Teachers and Principals,CP5: Early Learning,Nonprofit w/ consortium of schools,Development,5 years,4993905,No,"Minneapolis, MN
(45.0221, -93.2447)"
"A Cultural Exchange, Inc.","Read, Baby, Read! Book Club and Chapters: A Book Club for Young Achievers",Cleveland,OH,44120,"""A Cultural Exchange (ACE) is a non-profit literacy-based multicultural arts organization for childrenheadquartered in Cleveland, Ohio. The Read, Baby, Read! Book Club and Chapters: A Book Club for YoungAchievers programs are vital to our service commitment to the thousands of children and families we serve.Although our reach is far, the majority of our programming is designed to touch the 50,000 children in theCleveland Metropolitan School District (CMSD), most of whom are primarily African American. Thesestudents are failing to achieve literacy at alarming rates and severely lag behind their suburban peers in readinggrowth. ACE has had success implementing these programs to over 100,000 children across the State of Ohiosince the program?s inception in 1997. We will address Absolute Priority 4 and Competitive PreferencePriority 5 in this proposal for the Read, Baby, Read! and Chapters Book Club, programs grounded in aculturally-relevant school-based English Language Arts curriculum, which will be implemented in eight lowperformingschools (seven with an official LEA partner, CMSD, and in one charter school, Lion of JudahAcademy). ACE has partnered with Pearson Education, Inc. to provide a 20% match and is working withCleveland State University to provide the independent evaluation for this project.Our goal is to support the academic achievement and participation of students by implementing a communitybasednon-remedial reading program aimed to increase access to multicultural literature. Project outcomesinclude: implementing Book Clubs for over 11,000 students in the City of Cleveland; increasing the number ofteachers trained to offer an engaging literacy curriculum; increase students? attitudes toward reading; engagingparent and community leaders; and developing a research-based model for replication of the program in areasthat face similar academic challenges.""",AP4: Persistently Low-Performing Schools,CP5: Early Learning,Nonprofit w/ consortium of schools,Development,5 years,5000000,No,"Cleveland, OH
(41.4721, -81.578)"
A Plus Education Partnership,Alabama Pre-AP Training and Incentive Program,Montgomery,AL,36110,"""A+ College Ready, a non-profit organization is seeking an i3 Development grant, partnering with Laying the Foundation?, Inc. (LTF) and 17 Alabama school districts to implement a Pre-AP Training and Incentive Program (Pre-APTIP). The 17 district partners include: Jefferson, Montgomery, Madison, Elmore, Etowah, Cleburne and Lee Counties as well as the cities of: Huntsville, Birmingham, Alexander City, Dothan, Gadsden, Hartselle, Jacksonville, Muscle Shoals, Oxford, and Pell City. The Pre-APTIP activities include: 1) Pre-AP teacher training in LTF; 2) administrator orientation; 3) purchase of equipment and materials needed to implement LTF lessons; 4) measurement and testing for students and teachers; 5) ?train the trainer;? 6) mentoring and vertical teaming and 6) incentives for teachers and schools. The Pre-APTIP program will be implemented in 43 Alabama high schools and 70 middle schools with a benchmark of increasing enrollment to 50% of the student population by the end of year three, enrolling a total of 88,400 student in Pre-AP courses taught by 931 LTF certified teachers. By implementing the program we will 1) increase teacher effectiveness; 2) increase student achievement; 3) increase AP enrollment especially in under-represented groups; 4) decrease the achievement gap among sub-groups and 5) achieve college readiness benchmarks, ultimately increasing college enrollment and completion rates.""",AP3: High Standards and High-Quality Assessments,,N/A,Development,3 years,3952663,No,"Montgomery, AL
(32.4189, -86.2732)"
ABC Unified School District,Early College High School Program,Cerritos,CA,90703,"""The purpose of the project is to establish a STEM-focused ABC Unified School District (ABC USD) ? Cerritos Community College (CCC) Early College High School Program (ECHSP) targeting underrepresented/high need high school students. The ECHSP provides students with intensive academic support, counseling, and guidance to ensure a more successful transition into postsecondary education. Students will have a ?jump start? on college by completing college level work while in high school through a supportive learning environment for student achievement. In small cohorts, students will have the opportunity to earn high school/college credit through the dual/enrollment/dual credit process. High school teachers and counselors will work collaboratively with college instructors to align and blend high school/college standards, academic content, and educational experiences. Standardized assessment tools will be used to evaluate students and build in support systems. Classes will be held on the high school campus and on the college campus taught by high school and/or college faculty. Partners: Cerritos Community College - Mental Health of America-Los Angeles and the Moskovitz Foundation, along with Cerritos Community College Foundation, are providing the project?s matching funds.""",AP3: High Standards and High-Quality Assessments,CP6: College Access and Success College Access and Success,N/A,Development,5 years,4999999,No,"Cerritos, CA
(33.8666, -118.049)"
"About Our Kids, Inc","EPIC:  Excellence, Performance, and Innovation for Children",Lamar,MO,64759,"""Substance abuse is a causal link in the outcome of academic failure. According to a US Surgeon General Report, students who use drugs are ten times more likely to suffer from poor academic performance and 3.5 times more likely to drop out of school. The target area of Southeast Kansas/Southwest Missouri has high rates of substance abuse and academic failure. EPIC increases academic achievement and turns around persistently low performing schools by preventing and reducing substance abuse.  By attacking this intermediate variable, student achievement is raised and dropout rates decline. Achievement gaps and discipline problems are reduced through extensive student supports. The program teaches students cognitive behavioral skills for building self-esteem, resisting advertising pressure, managing anxiety, communicating effectively, developing personal relationships and asserting one's rights. These academic and social-emotional competence skills are taught with a combination of techniques as well as individual and group work with struggling students. ?????""",AP4: Persistently Low-Performing Schools,"CP6: College Access and Success College Access and Success, CP8: Rural LEAs",Nonprofit w/ consortium of schools,Validation,5 years,5000000,No,"Lamar, MO
(37.4939, -94.2712)"
Abyssinian Development Corporation,ADC-SUNY Transformation Network,New York,NY,10027,"""Abyssinian Development Corporation (ADC) is a comprehensive community development corporation dedicatedto improving the quality of life in Harlem. ADC sponsors three public educational institutions including a HeadStart Program, an elementary school and a middle/high school. ADC?s educational institutions are outperforming their peer community in a district that has significantly poor statistics.Based upon our own experience as a sponsor and lead partner to high performing Harlem schools (one of whichrequired an extensive turnaround), ADC will now demonstrate a Lead Turnaround Partner Model at a largerscale. ADC seeks to create the Transformation Network and ?turnaround? a cohort of four low performingschools in Harlem?s District 5: an elementary school, middle school; middle/high school and high school. ADC?sapproach will have an innovative focus on community partnership and empowerment, and culturally relevantpractice.""",AP4: Persistently Low-Performing Schools,CP5: Early Learning,Nonprofit w/ consortium of schools,Development,5 years,5000000,No,"New York, NY
(40.8121, -73.9544)"
"Academic Development Institute, Inc.",Technology-Assisted Transformation in Rural and Native American Schools,Lincoln,IL,62656,"""Technology-Assisted Transformation in a Consortium of Rural and Native American SchoolsThe Academic Development Institute, a non-profit organization, and the Consortium of Rural and Native American Schools (CORNAS)-16 rural schools, remotely located, of which 11 are Native American schools-propose to significantly improve student learning in corrective action and  restructuring schools that are: (a) accustomed to local autonomy in making decisions, but (b) in need of structure and expertise to guide their decisions, and (c) remote from sources of expertise and support. This project will provide a decision-making structure, a foundation of effective practices, and a network of connections within the school and between the school, district, state, and other schools. The project will implement the web-based Technology-Assisted Transformation (TAT) with its three technology-assisted programs. These programs have shown promise in facilitating rapid school improvement. Education Specialists will supplement the web-based applications with on-site trainings and coaching provided via the TAT web system. The project will train District Liaisons (employed by the districts) to work alongside the Education Specialists in order to decrease the level of on-site, external support through the three-year implementation period, as it builds the capacity of the school and district to sustain the work. The project will prepare the SEAs and the BIE to maintain and scale up TAT.""",AP4: Persistently Low-Performing Schools,CP8: Rural LEAs,Nonprofit w/ consortium of schools,Development,4 years,5116176,Yes,"Lincoln, IL
(40.1536, -89.3691)"
ACADEMIC SUCCESS PROGRAM,"Academic Success Program - College access program for urban and rural school districts for underrepresented, low income. struggling students,and students with historically lower college success rates.",DALLAS,TX,75201,,,,(not provided),Development,,20150000,No,"DALLAS, TX
(32.7872, -96.7985)"
Academics In Motion Inc.,AIM,New York,NY,10019,"""Academics In Motion (AIM) is seeking funds from the Investment in Innovation Fund established under Section 14007 of the American Recovery and Reinvestment Act of 2009 (ARRA) to support the expansion of a program that has documented success in ensuring high school graduates in underserved communities are college and career-ready. With a Developmental Grant we will be able support, document, and validate the mentoring program that we established in 2004. AIM will be able to reach an additional 5,000 underserved high school students in the New York City and the surrounding area for a period of five-years (50 months) which provides the necessary time to collect the data and show results. This narrative will help outline a cost effective model that can be eventually duplicated nationally.""",AP4: Persistently Low-Performing Schools,CP6: College Access and Success College Access and Success,Nonprofit w/ consortium of schools,Development,5 years,4057294,No,"New York, NY
(40.7642, -73.9874)"
